id,verbatim_text,product,pack,region,issue_type,source,created_at,taxonomy_coverage,is_planted_issue,planted_issue_id
b4e98cbc-38ee-4d6a-9117-f2c49fbb4662,Box crushed in shipping to California,Cookies Pack,Resealable Bag v1,California,Damaged Pack,Email,2026-01-15T04:19:00,0.63,False,
6b175d30-0945-4ec6-b1eb-e7f9192ad9e8,Ordered Granola Bar got wrong flavor,Granola Bar,Can 330ml,Texas,Wrong Flavor,Email,2026-01-15T04:20:00,0.87,False,
46d6a94c-ae58-4956-9f59-a7c8aed4efb9,Box crushed in shipping to California,Soda Pop,Resealable Bag v1,California,Damaged Pack,Call Center,2026-01-15T04:21:00,0.94,False,
516bf42a-19d6-4ad3-8001-efce5a9f4b70,Stale Crunchy Chips in Can 330ml,Crunchy Chips,Can 330ml,Texas,Stale Taste,Email,2026-01-15T04:26:00,0.66,False,
32978db6-6452-4a26-9def-17c53221568e,Resealable Bag v2 - New Lid half empty - Soda Pop,Soda Pop,Resealable Bag v2 - New Lid,Northeast,Low Fill,Twitter,2026-01-15T04:26:00,0.76,False,
541f12e0-a52a-4aae-83dc-4f08cf6dc056,Can 330ml arrived torn,Cookies Pack,Can 330ml,California,Damaged Pack,Twitter,2026-01-15T04:28:00,0.67,False,
1022f187-8fee-4d64-b5cf-ea3a86d33cc4,Ordered Granola Bar got wrong flavor,Granola Bar,Box 200g,Northeast,Wrong Flavor,Email,2026-01-15T04:45:00,0.67,False,
267bfb91-c2d8-418f-992e-9498d1303cff,Ordered Soda Pop got wrong flavor,Soda Pop,Can 330ml,Texas,Wrong Flavor,Amazon Review,2026-01-15T04:57:00,0.61,False,
7127baa1-54d6-4d31-b1a5-15e6a8c39ed1,"The Can 330ml won't close, goes stale in Texas",Crunchy Chips,Can 330ml,Texas,Seal Failure,Twitter,2026-01-15T05:20:00,0.77,False,
ddfdfa8b-309d-48ba-81b5-bce8bb431510,Resealable Bag v2 - New Lid leaking in transit to California,Soda Pop,Resealable Bag v2 - New Lid,California,Leaking,Amazon Review,2026-01-15T05:21:00,0.85,False,
6d67550c-f7ed-4a77-9465-559e19aa8324,"The Resealable Bag v1 won't close, goes stale in California",Crunchy Chips,Resealable Bag v1,California,Seal Failure,Amazon Review,2026-01-15T05:23:00,0.8,False,
0e19f7f3-ab3c-4ab6-a675-4e14b265bef8,Ordered Crunchy Chips got wrong flavor,Crunchy Chips,Resealable Bag v2 - New Lid,Midwest,Wrong Flavor,Email,2026-01-15T05:24:00,0.87,False,
42d6c40b-3885-4371-bf4c-26259719dde7,Stale Cookies Pack in Box 200g,Cookies Pack,Box 200g,Northeast,Stale Taste,Email,2026-01-15T05:25:00,0.95,False,
ef2002a3-a31b-44aa-9edd-ff1c0e156357,Resealable Bag v1 leaking in transit to California,Granola Bar,Resealable Bag v1,California,Leaking,Amazon Review,2026-01-15T05:35:00,0.88,False,
3e073565-dcea-470e-a353-15f9aa8aee6e,Box 200g half empty - Soda Pop,Soda Pop,Box 200g,Pacific Northwest,Low Fill,Email,2026-01-15T05:35:00,0.74,False,
f59a0636-31ee-4f5d-a68a-0b6ec44d37fe,Can 330ml half empty - Cookies Pack,Cookies Pack,Can 330ml,Texas,Low Fill,Twitter,2026-01-15T05:37:00,0.8,False,
2eb51ca2-8144-4cb2-bbdc-d22ab35b8b2c,Resealable Bag v2 - New Lid arrived torn,Cookies Pack,Resealable Bag v2 - New Lid,California,Damaged Pack,Amazon Review,2026-01-15T05:44:00,0.74,False,
a279f36e-bd11-42f9-a716-58fc925f49cd,Opened Cookies Pack and it was stale,Cookies Pack,Can 330ml,Midwest,Stale Taste,Twitter,2026-01-15T06:08:00,0.9,False,
3cdcfe5d-56d5-4ef2-9b37-911e27673087,"The Can 330ml won't close, goes stale in Pacific Northwest",Soda Pop,Can 330ml,Pacific Northwest,Seal Failure,Amazon Review,2026-01-15T06:08:00,0.86,False,
1eb53f44-743e-4044-8fa6-95f79a8dab2a,Soda Pop tastes stale from California,Soda Pop,Resealable Bag v2 - New Lid,California,Stale Taste,Email,2026-01-15T06:10:00,0.73,False,
77d28470-933f-46d0-9f19-799314c05c29,Ordered Granola Bar got wrong flavor,Granola Bar,Resealable Bag v1,California,Wrong Flavor,Amazon Review,2026-01-15T06:15:00,0.72,False,
0c8f9e3b-8a99-41b2-b296-765211022048,Opened Soda Pop and it was stale,Soda Pop,Can 330ml,Texas,Stale Taste,Email,2026-01-15T06:20:00,0.94,False,
cebe391f-14a0-43ad-9e42-5187bba7a158,New lid on Box 200g doesn't seal properly,Cookies Pack,Box 200g,Midwest,Seal Failure,Twitter,2026-01-15T06:23:00,0.8,False,
4379b9c2-30f3-402c-a908-08fe5e715cf4,Resealable Bag v1 half empty - Crunchy Chips,Crunchy Chips,Resealable Bag v1,Pacific Northwest,Low Fill,Email,2026-01-15T06:26:00,0.89,False,
a9cf0534-88c5-4d61-b901-d9fe27f60832,Resealable Bag v2 - New Lid half empty - Cookies Pack,Cookies Pack,Resealable Bag v2 - New Lid,Northeast,Low Fill,Call Center,2026-01-15T06:39:00,0.85,False,
66308dcb-5175-4871-b835-25f88714a743,Resealable Bag v2 - New Lid leaking in transit to Midwest,Cookies Pack,Resealable Bag v2 - New Lid,Midwest,Leaking,Email,2026-01-15T06:48:00,0.84,False,
5f4a1a5b-de5d-43ac-95ee-c20bff844b6a,Cookies Pack tastes stale from Northeast,Cookies Pack,Resealable Bag v2 - New Lid,Northeast,Stale Taste,Amazon Review,2026-01-15T06:59:00,0.61,False,
6839c74f-07d4-41eb-9065-c394d0ac032b,Resealable Bag v1 half empty - Soda Pop,Soda Pop,Resealable Bag v1,Northeast,Low Fill,Twitter,2026-01-15T07:06:00,0.62,False,
6f499e0e-2697-4a15-b3eb-0ea5616e886c,Opened Soda Pop and it was stale,Soda Pop,Resealable Bag v1,Northeast,Stale Taste,Amazon Review,2026-01-15T07:19:00,0.77,False,
f4d597d8-ac6c-43b6-abeb-229d9ec8e2eb,Box 200g half empty - Soda Pop,Soda Pop,Box 200g,Midwest,Low Fill,Email,2026-01-15T07:23:00,0.78,False,
37bdf010-af08-4afb-987c-54458c91a041,Opened Crunchy Chips and it was stale,Crunchy Chips,Resealable Bag v1,Pacific Northwest,Stale Taste,Twitter,2026-01-15T07:24:00,0.93,False,
22cd09c3-7239-41fc-ac56-26694a4ced23,Box 200g leaking in transit to California,Crunchy Chips,Box 200g,California,Leaking,Amazon Review,2026-01-15T07:30:00,0.66,False,
a90536ad-032b-4965-a614-ee9ddb993df0,Ordered Granola Bar got wrong flavor,Granola Bar,Resealable Bag v1,Northeast,Wrong Flavor,Amazon Review,2026-01-15T07:34:00,0.64,False,
9f878b79-9b80-4d7e-aab2-19f0c09045f5,Ordered Cookies Pack got wrong flavor,Cookies Pack,Box 200g,Northeast,Wrong Flavor,Email,2026-01-15T07:35:00,0.95,False,
ac4820ac-24fb-4003-9da2-4196ef7ffa2b,Can 330ml leaking in transit to California,Granola Bar,Can 330ml,California,Leaking,Twitter,2026-01-15T07:40:00,0.79,False,
5b9054d3-dd6c-4068-a5fb-ccfccfbf326d,Resealable Bag v2 - New Lid half empty - Crunchy Chips,Crunchy Chips,Resealable Bag v2 - New Lid,Northeast,Low Fill,Amazon Review,2026-01-15T07:43:00,0.7,False,
4dd6df8a-de27-4d28-a7cd-561c757ea524,Stale Crunchy Chips in Resealable Bag v2 - New Lid,Crunchy Chips,Resealable Bag v2 - New Lid,Texas,Stale Taste,Twitter,2026-01-15T07:44:00,0.75,False,
9fdf2e97-839c-4404-a177-cdb5cf19955b,Resealable Bag v2 - New Lid half empty - Granola Bar,Granola Bar,Resealable Bag v2 - New Lid,Midwest,Low Fill,Call Center,2026-01-15T07:47:00,0.84,False,
744a8ba0-a68e-46c0-aef4-85fa92914ed8,New lid on Resealable Bag v1 doesn't seal properly,Soda Pop,Resealable Bag v1,Texas,Seal Failure,Call Center,2026-01-15T07:48:00,0.68,False,
3225f8cd-bb61-4a90-a006-fd3ca5481f68,"The Box 200g won't close, goes stale in Texas",Granola Bar,Box 200g,Texas,Seal Failure,Twitter,2026-01-15T07:56:00,0.92,False,
3a87d4ec-b1e0-4faf-8602-87d1d93af281,Resealable Bag v2 - New Lid half empty - Crunchy Chips,Crunchy Chips,Resealable Bag v2 - New Lid,Pacific Northwest,Low Fill,Amazon Review,2026-01-15T07:58:00,0.74,False,
5edb9de9-6f7c-4804-ba16-95afb2c5cfac,Can 330ml half empty - Crunchy Chips,Crunchy Chips,Can 330ml,Pacific Northwest,Low Fill,Amazon Review,2026-01-15T08:10:00,0.77,False,
209c1e71-f2f8-4e45-82f5-d91f402f1ad2,Box crushed in shipping to California,Cookies Pack,Box 200g,California,Damaged Pack,Email,2026-01-15T08:13:00,0.82,False,
4ae9e518-9621-4fbd-a077-0c9132ac0907,Ordered Granola Bar got wrong flavor,Granola Bar,Resealable Bag v2 - New Lid,Northeast,Wrong Flavor,Amazon Review,2026-01-15T08:19:00,0.66,False,
45fdda23-1ad5-4aff-b70c-84f2856441e1,Resealable Resealable Bag v2 - New Lid failed to close - California,Granola Bar,Resealable Bag v2 - New Lid,California,Seal Failure,Email,2026-01-15T08:21:00,0.68,False,
3d15a61b-2ee7-4136-8cfb-8f8bf5c89ed0,New lid on Can 330ml doesn't seal properly,Cookies Pack,Can 330ml,Pacific Northwest,Seal Failure,Email,2026-01-15T08:24:00,0.74,False,
909f20f8-034d-4858-a0bb-7627afada3b6,Resealable Bag v2 - New Lid leaking in transit to Pacific Northwest,Cookies Pack,Resealable Bag v2 - New Lid,Pacific Northwest,Leaking,Call Center,2026-01-15T08:28:00,0.65,False,
5b8084a7-accc-47d1-872f-409a216fd764,Resealable Bag v1 arrived torn,Cookies Pack,Resealable Bag v1,Northeast,Damaged Pack,Twitter,2026-01-15T08:32:00,0.9,False,
e11d91e5-1a0c-4826-b4d4-7798b040c1dc,New lid on Resealable Bag v1 doesn't seal properly,Crunchy Chips,Resealable Bag v1,Northeast,Seal Failure,Email,2026-01-15T08:50:00,0.67,False,
f2275722-40b7-4fc2-871e-8d4e31d5a13e,Resealable Can 330ml failed to close - Northeast,Granola Bar,Can 330ml,Northeast,Seal Failure,Call Center,2026-01-15T08:53:00,0.6,False,
90329a41-594a-44ad-aa3a-c21d191be38f,Box 200g half empty - Granola Bar,Granola Bar,Box 200g,Midwest,Low Fill,Twitter,2026-01-15T09:03:00,0.86,False,
01fbb3e0-b75a-49fc-b1fb-14f8389042e2,New lid on Box 200g doesn't seal properly,Granola Bar,Box 200g,Pacific Northwest,Seal Failure,Email,2026-01-15T09:13:00,0.73,False,
a359d138-6604-4575-92d9-7281a4f64128,Ordered Soda Pop got wrong flavor,Soda Pop,Can 330ml,Midwest,Wrong Flavor,Call Center,2026-01-15T09:14:00,0.9,False,
6a8b746c-e791-4f34-adfa-2c81f903703c,Stale Cookies Pack in Resealable Bag v1,Cookies Pack,Resealable Bag v1,Midwest,Stale Taste,Call Center,2026-01-15T09:15:00,0.83,False,
9474ad60-1055-4701-a245-901df2a7a61f,Ordered Cookies Pack got wrong flavor,Cookies Pack,Resealable Bag v2 - New Lid,Northeast,Wrong Flavor,Call Center,2026-01-15T09:18:00,0.75,False,
1f77e2b2-a015-45f5-9948-a069883f4e08,Can 330ml arrived torn,Soda Pop,Can 330ml,California,Damaged Pack,Call Center,2026-01-15T09:20:00,0.85,False,
40f873d2-8b6f-47be-ab89-2404521d720a,Box crushed in shipping to Northeast,Soda Pop,Box 200g,Northeast,Damaged Pack,Call Center,2026-01-15T09:40:00,0.63,False,
3d738f0d-967a-438f-8bbe-995ca290a862,Resealable Bag v1 half empty - Crunchy Chips,Crunchy Chips,Resealable Bag v1,California,Low Fill,Call Center,2026-01-15T09:53:00,0.76,False,
df4fd631-88d0-4d39-8810-6ed674b090f2,Box 200g arrived torn,Soda Pop,Box 200g,California,Damaged Pack,Call Center,2026-01-15T09:55:00,0.76,False,
ffca170f-3a77-4574-93fa-ee8a4232a421,Stale Granola Bar in Resealable Bag v1,Granola Bar,Resealable Bag v1,California,Stale Taste,Call Center,2026-01-15T10:01:00,0.91,False,
3a1f3316-6883-4d98-984f-937625ffff7a,"The Resealable Bag v2 - New Lid won't close, goes stale in California",Cookies Pack,Resealable Bag v2 - New Lid,California,Seal Failure,Twitter,2026-01-15T10:02:00,0.7,False,
81b47bbe-ab7e-4b75-820b-96baf3b15450,Resealable Bag v2 - New Lid half empty - Cookies Pack,Cookies Pack,Resealable Bag v2 - New Lid,Pacific Northwest,Low Fill,Twitter,2026-01-15T10:07:00,0.94,False,
b992c4d0-e6d8-4187-9402-1590b732c3f5,Resealable Bag v2 - New Lid arrived torn,Granola Bar,Resealable Bag v2 - New Lid,Midwest,Damaged Pack,Amazon Review,2026-01-15T10:12:00,0.73,False,
fb23d577-ea89-4158-bef3-0bfd96fd7f41,Resealable Resealable Bag v2 - New Lid failed to close - California,Crunchy Chips,Resealable Bag v2 - New Lid,California,Seal Failure,Amazon Review,2026-01-15T10:14:00,0.86,False,
6043ca73-a743-46aa-ac09-0c1e7eebf41f,Box crushed in shipping to California,Crunchy Chips,Can 330ml,California,Damaged Pack,Call Center,2026-01-15T10:20:00,0.69,False,
d334abc9-f484-4617-bdfc-d4089c843e20,Resealable Bag v2 - New Lid half empty - Granola Bar,Granola Bar,Resealable Bag v2 - New Lid,Northeast,Low Fill,Amazon Review,2026-01-15T10:20:00,0.66,False,
44a28db1-2ecb-428a-8558-4d9ab367bb90,Box 200g half empty - Granola Bar,Granola Bar,Box 200g,Texas,Low Fill,Email,2026-01-15T10:35:00,0.63,False,
6cdd266f-feca-4ece-b958-1b593e7501ec,Resealable Can 330ml failed to close - Texas,Cookies Pack,Can 330ml,Texas,Seal Failure,Twitter,2026-01-15T10:52:00,0.68,False,
60043f74-6a3b-413d-9027-7a22afb0df87,New lid on Resealable Bag v1 doesn't seal properly,Cookies Pack,Resealable Bag v1,California,Seal Failure,Twitter,2026-01-15T10:53:00,0.75,False,
a1aa6367-93ec-4791-ac73-6f6884ea32ea,Resealable Resealable Bag v1 failed to close - Northeast,Soda Pop,Resealable Bag v1,Northeast,Seal Failure,Twitter,2026-01-15T11:00:00,0.74,False,
713c5fae-6791-440b-8e7a-a864007f3e9e,Stale Soda Pop in Resealable Bag v1,Soda Pop,Resealable Bag v1,Pacific Northwest,Stale Taste,Amazon Review,2026-01-15T11:25:00,0.75,False,
64d4d11c-f80f-4e16-a4f3-e9be110cba4c,Box crushed in shipping to California,Cookies Pack,Can 330ml,California,Damaged Pack,Email,2026-01-15T11:35:00,0.64,False,
00222b51-2a26-4e45-817c-44d907b0607d,Ordered Crunchy Chips got wrong flavor,Crunchy Chips,Resealable Bag v2 - New Lid,California,Wrong Flavor,Amazon Review,2026-01-15T11:36:00,0.77,False,
6efe87ff-d082-4e7c-bf96-50ee763add44,Resealable Bag v2 - New Lid leaking in transit to Northeast,Cookies Pack,Resealable Bag v2 - New Lid,Northeast,Leaking,Email,2026-01-15T11:41:00,0.78,False,
c1582d2e-5030-4938-9efc-9042dd0bdbdf,Resealable Resealable Bag v1 failed to close - Midwest,Cookies Pack,Resealable Bag v1,Midwest,Seal Failure,Twitter,2026-01-15T11:41:00,0.81,False,
33b3af39-d717-4250-b6cc-6166282b4743,Box crushed in shipping to Northeast,Soda Pop,Box 200g,Northeast,Damaged Pack,Amazon Review,2026-01-15T11:53:00,0.73,False,
bb0f0daa-c37d-4c9a-a3c1-a26e85ab3043,Can 330ml leaking in transit to Pacific Northwest,Cookies Pack,Can 330ml,Pacific Northwest,Leaking,Email,2026-01-15T11:55:00,0.81,False,
51dd5d25-f8f7-47a2-889a-4fa09cd1cbf2,Resealable Resealable Bag v1 failed to close - Texas,Cookies Pack,Resealable Bag v1,Texas,Seal Failure,Twitter,2026-01-15T12:07:00,0.8,False,
e46986cc-4025-451b-819b-40cc1d392434,Can 330ml leaking in transit to California,Granola Bar,Can 330ml,California,Leaking,Call Center,2026-01-15T12:07:00,0.83,False,
757f75c7-9a53-470d-8f91-562ad757dbd6,Can 330ml half empty - Crunchy Chips,Crunchy Chips,Can 330ml,Pacific Northwest,Low Fill,Twitter,2026-01-15T12:10:00,0.65,False,
038e4f16-d97c-486a-ab61-2a900f454229,"The Resealable Bag v2 - New Lid won't close, goes stale in Northeast",Crunchy Chips,Resealable Bag v2 - New Lid,Northeast,Seal Failure,Call Center,2026-01-15T12:15:00,0.77,False,
a4782e99-c198-4586-8f7a-fc8e0c790207,Resealable Bag v2 - New Lid leaking in transit to Pacific Northwest,Granola Bar,Resealable Bag v2 - New Lid,Pacific Northwest,Leaking,Amazon Review,2026-01-15T12:29:00,0.9,False,
f8a11277-0868-4675-9e86-eadbfd5353a4,Box 200g half empty - Crunchy Chips,Crunchy Chips,Box 200g,Pacific Northwest,Low Fill,Call Center,2026-01-15T12:47:00,0.71,False,
850037b0-0d00-4f28-96ee-ced82acbf0e2,Box 200g leaking in transit to California,Soda Pop,Box 200g,California,Leaking,Call Center,2026-01-15T13:02:00,0.86,False,
fb29dffe-33aa-4488-ba07-8a11ed8dc8c1,Ordered Soda Pop got wrong flavor,Soda Pop,Box 200g,California,Wrong Flavor,Call Center,2026-01-15T13:05:00,0.62,False,
fa817de7-0a61-4ce7-afa1-0521fc1615b6,Resealable Bag v1 arrived torn,Crunchy Chips,Resealable Bag v1,Pacific Northwest,Damaged Pack,Twitter,2026-01-15T13:13:00,0.92,False,
b3043cd3-fd20-42d9-a852-d8f082413e33,Stale Granola Bar in Resealable Bag v2 - New Lid,Granola Bar,Resealable Bag v2 - New Lid,Northeast,Stale Taste,Twitter,2026-01-15T13:34:00,0.76,False,
2b1c4cb6-8243-4eb6-9a00-105c0599cbee,Resealable Resealable Bag v1 failed to close - Pacific Northwest,Granola Bar,Resealable Bag v1,Pacific Northwest,Seal Failure,Twitter,2026-01-15T13:47:00,0.9,False,
2148d0bb-495c-44d9-a476-522fb3b0eafb,Box 200g leaking in transit to Texas,Cookies Pack,Box 200g,Texas,Leaking,Twitter,2026-01-15T13:47:00,0.67,False,
e784df3a-986b-4586-89f7-e6f042d4536c,Box crushed in shipping to Texas,Soda Pop,Box 200g,Texas,Damaged Pack,Twitter,2026-01-15T13:52:00,0.71,False,
e5d7ccad-6426-45cd-8acb-847c4e8e8a69,"The Box 200g won't close, goes stale in Texas",Cookies Pack,Box 200g,Texas,Seal Failure,Amazon Review,2026-01-15T13:57:00,0.92,False,
76cbf606-f830-4a89-b590-c8b70455e7fa,New lid on Resealable Bag v2 - New Lid doesn't seal properly,Soda Pop,Resealable Bag v2 - New Lid,Northeast,Seal Failure,Call Center,2026-01-15T14:15:00,0.83,False,
68b9d798-f58d-4bbf-8eb3-09c3ba525c2c,Box 200g leaking in transit to Northeast,Cookies Pack,Box 200g,Northeast,Leaking,Call Center,2026-01-15T14:28:00,0.88,False,
194c2937-81a9-418e-a987-b318f822d914,Soda Pop tastes stale from California,Soda Pop,Resealable Bag v2 - New Lid,California,Stale Taste,Call Center,2026-01-15T14:34:00,0.73,False,
f810852e-a34f-4e48-8c69-221a47af8ced,Resealable Box 200g failed to close - Pacific Northwest,Soda Pop,Box 200g,Pacific Northwest,Seal Failure,Amazon Review,2026-01-15T15:06:00,0.81,False,
a0c8eec7-4ccd-4966-9ae1-9bff6f0feead,Resealable Bag v1 half empty - Crunchy Chips,Crunchy Chips,Resealable Bag v1,Pacific Northwest,Low Fill,Email,2026-01-15T16:07:00,0.75,False,
80da896a-de1b-43dd-8bbd-9e41cd7e048d,Ordered Soda Pop got wrong flavor,Soda Pop,Box 200g,California,Wrong Flavor,Email,2026-01-15T16:08:00,0.72,False,
aa8eec51-97ec-4a80-b14b-d97e54b24233,Opened Cookies Pack and it was stale,Cookies Pack,Can 330ml,Texas,Stale Taste,Email,2026-01-15T16:49:00,0.91,False,
a44494b1-8df2-4e46-9a4e-f08aebf9a48f,Granola Bar tastes stale from Midwest,Granola Bar,Can 330ml,Midwest,Stale Taste,Email,2026-01-15T16:57:00,0.92,False,
b1f9a1cb-ff09-462b-a736-7021286342cc,Resealable Bag v2 - New Lid leaking in transit to California,Granola Bar,Resealable Bag v2 - New Lid,California,Leaking,Call Center,2026-01-15T17:31:00,0.81,False,
1fcea1dc-3e2e-4556-bb65-df2b6a6feb91,"The Resealable Bag v2 - New Lid won't close, goes stale in Midwest",Cookies Pack,Resealable Bag v2 - New Lid,Midwest,Seal Failure,Twitter,2026-01-15T17:36:00,0.89,False,
d0e3de31-1697-4d6c-ad53-14095734d95c,"The Resealable Bag v1 won't close, goes stale in California",Soda Pop,Resealable Bag v1,California,Seal Failure,Twitter,2026-01-15T17:39:00,0.92,False,
56c285ff-9187-48ed-a52b-2a5318259a19,Resealable Bag v2 - New Lid arrived torn,Granola Bar,Resealable Bag v2 - New Lid,Texas,Damaged Pack,Twitter,2026-01-15T17:39:00,0.65,False,
f7ff7dd3-891b-4a9e-84a6-c88f89da6dba,Can 330ml half empty - Granola Bar,Granola Bar,Can 330ml,California,Low Fill,Call Center,2026-01-15T17:49:00,0.68,False,
a6a21e11-e854-424d-be8f-ad279408dfc7,New lid on Resealable Bag v2 - New Lid doesn't seal properly,Granola Bar,Resealable Bag v2 - New Lid,Texas,Seal Failure,Amazon Review,2026-01-15T18:08:00,0.81,False,
12be3e18-ed53-400a-bb76-643d298f8446,Resealable Bag v2 - New Lid arrived torn,Soda Pop,Resealable Bag v2 - New Lid,Northeast,Damaged Pack,Twitter,2026-01-15T18:12:00,0.88,False,
4f110da3-f62d-4712-81f9-23ff2442adbd,Ordered Soda Pop got wrong flavor,Soda Pop,Can 330ml,Midwest,Wrong Flavor,Twitter,2026-01-15T18:22:00,0.72,False,
7049ed04-0ac6-4fd7-b38f-cdbdb095ea08,Resealable Bag v1 arrived torn,Soda Pop,Resealable Bag v1,Texas,Damaged Pack,Amazon Review,2026-01-15T19:06:00,0.75,False,
e7319cc7-cbf5-42ca-af1b-b7c7c028f2bd,Stale Cookies Pack in Can 330ml,Cookies Pack,Can 330ml,California,Stale Taste,Email,2026-01-15T19:14:00,0.85,False,
d0147e65-8ab0-45ab-8d97-8285cbada039,"The Box 200g won't close, goes stale in Northeast",Cookies Pack,Box 200g,Northeast,Seal Failure,Email,2026-01-15T19:16:00,0.89,False,
516b4140-eae3-4e9d-8044-9e9d8f8242c0,Resealable Bag v2 - New Lid leaking in transit to Midwest,Granola Bar,Resealable Bag v2 - New Lid,Midwest,Leaking,Call Center,2026-01-15T19:20:00,0.73,False,
f647c4e6-8d32-4c23-ba4c-0d10b90f725b,Ordered Cookies Pack got wrong flavor,Cookies Pack,Resealable Bag v1,Northeast,Wrong Flavor,Twitter,2026-01-15T19:39:00,0.87,False,
76c314ba-0f12-49f7-80a0-2ce07a3b310c,Resealable Bag v1 arrived torn,Granola Bar,Resealable Bag v1,Midwest,Damaged Pack,Email,2026-01-15T19:45:00,0.82,False,
